Episode,ActionMeasure
1,2.0
2,2.0
3,2.0
4,1.8765590190887451
5,1.2132379412651062
6,2.0
7,2.0
8,2.0
9,2.0
10,1.7877591848373413
11,2.0
12,2.0
13,1.7437810897827148
14,1.051126778125763
15,1.9965163469314575
16,2.0
17,2.0
18,2.0
19,2.0
20,2.0
21,2.0
22,1.9774382710456848
23,1.1568382680416107
24,2.0
25,2.0
26,2.0
27,2.0
28,1.1063637733459473
29,2.0
30,2.0
31,2.0
32,2.0
33,1.2745168209075928
34,2.0
35,1.756791114807129
36,1.4597188830375671
37,2.0
38,2.0
39,2.0
40,1.4443169832229614
41,2.0
42,1.8520774245262146
43,1.4910995960235596
44,2.0
45,2.0
46,1.630484253168106
47,1.7852347493171692
48,2.0
49,2.0
50,2.0
51,2.0
52,2.0
53,2.0
54,1.9255375862121582
55,2.0
56,2.0
57,2.0
58,0.9621145725250244
59,2.0
60,2.0
61,2.0
62,2.0
63,1.7704286575317383
64,2.0
65,2.0
66,1.171694040298462
67,2.0
68,1.7123669385910034
69,2.0
70,2.0
71,2.0
72,2.0
73,2.0
74,2.0
75,2.0
76,2.0
77,2.0
78,1.8449240922927856
79,2.0
80,2.0
81,2.0
82,2.0
83,2.0
84,2.0
85,1.9013643860816956
86,2.0
87,2.0
88,2.0
89,2.0
90,2.0
91,1.8878113627433777
92,2.0
93,2.0
94,2.0
95,1.7372913360595703
96,2.0
97,2.0
98,2.0
99,2.0
100,1.1130263209342957
1,2.0
2,1.9898651242256165
3,2.0
4,1.8830801248550415
5,2.0
6,2.0
7,2.0
8,2.0
9,1.3538980185985565
10,2.0
11,1.8635609149932861
12,2.0
13,2.0
14,2.0
15,2.0
16,0.9664190411567688
17,1.1073993816971779
18,2.0
19,2.0
20,2.0
21,2.0
22,2.0
23,2.0
24,2.0
25,2.0
26,2.0
27,2.0
28,2.0
29,2.0
30,2.0
31,2.0
32,2.0
33,1.3975853025913239
34,1.3481669425964355
35,2.0
36,2.0
37,1.4793499112129211
38,2.0
39,2.0
40,1.768190860748291
41,2.0
42,2.0
43,2.0
44,2.0
45,1.2044299840927124
46,1.8196425437927246
47,2.0
48,1.3653171062469482
49,2.0
50,2.0
51,2.0
52,2.0
53,1.529434084892273
54,2.0
55,1.9997145533561707
56,2.0
57,2.0
58,1.924935221672058
59,1.0065912008285522
60,2.0
61,1.9219954013824463
62,2.0
63,2.0
64,2.0
65,2.0
66,2.0
67,2.0
68,2.0
69,2.0
70,2.0
71,2.0
72,2.0
73,2.0
74,1.341892570257187
75,2.0
76,2.0
77,1.4582958221435547
78,2.0
79,2.0
80,2.0
81,2.0
82,2.0
83,2.0
84,1.249264121055603
85,1.3780485391616821
86,2.0
87,1.1449039727449417
88,2.0
89,2.0
90,2.0
91,1.6118770837783813
92,2.0
93,2.0
94,2.0
95,2.0
96,2.0
97,1.5172008275985718
98,2.0
99,2.0
100,2.0
